Scenario,Parameter,Estimate,Units,Stderr,CV%,2.5% CI,97.5% CI,Var. Inf. factor
,tvKa,0.391355,1/hr,0.0158685223004538,4.05476416564342,0.360198635389918,0.422511364610082,
,tvV,2.93736,,0.0538748549882039,1.83412503023817,2.83158174330122,3.04313825669878,
,tvCl,0.0796766,,0.0014313979181206,1.79650978847065,0.0768661835923045,0.0824870164076955,
,dVdWT,1,,0,0,1,1,
,dCldAGE,-0.874851,,0.107256701422335,-12.2599964362315,-1.08543953704944,-0.664262462950561,
,stdev0,0.098996,,0.00277248985570732,2.80060795962192,0.0935524745609804,0.10443952543902,
